student_id,full_name,email,password
S1000,S1000,s1000@student.murdoch.edu.au,student123
S1001,S1001,s1001@student.murdoch.edu.au,student123
S1002,S1002,s1002@student.murdoch.edu.au,student123
S1003,S1003,s1003@student.murdoch.edu.au,student123
S1004,S1004,s1004@student.murdoch.edu.au,student123
S1005,S1005,s1005@student.murdoch.edu.au,student123
S1006,S1006,s1006@student.murdoch.edu.au,student123
S1007,S1007,s1007@student.murdoch.edu.au,student123
S1008,S1008,s1008@student.murdoch.edu.au,student123
S1009,S1009,s1009@student.murdoch.edu.au,student123
S1010,S1010,s1010@student.murdoch.edu.au,student123
S1011,S1011,s1011@student.murdoch.edu.au,student123
S1012,S1012,s1012@student.murdoch.edu.au,student123
S1013,S1013,s1013@student.murdoch.edu.au,student123
S1014,S1014,s1014@student.murdoch.edu.au,student123
S1015,S1015,s1015@student.murdoch.edu.au,student123
S1016,S1016,s1016@student.murdoch.edu.au,student123
S1017,S1017,s1017@student.murdoch.edu.au,student123
S1018,S1018,s1018@student.murdoch.edu.au,student123
S1019,S1019,s1019@student.murdoch.edu.au,student123
